article_id,source_name,title,event,bias,country,adfontes_bias,mentions_gw
89887,Al Jazeera English,Minor parties could hold key to New Zealand election,cyclone,left-center,us,Skews Left,True
91835,Time,Millions of Children Displaced Due To Extreme Weather. Climate Change Will Make It Worse,cyclone,left-center,us,Skews Left,True
91978,Al Jazeera English,Hong Kong drenched and battered by weakening Typhoon Koinu,cyclone,left-center,us,Skews Left,True
91985,Phys.Org,Millions of children are displaced due to extreme weather events. Climate change will make it worse,cyclone,pro-science,gb,Middle,True
92027,Phys.Org,"Typhoon Koinu skirts Hong Kong, heads for southern China's Hainan island",cyclone,pro-science,gb,Middle,True
92101,Euronews,"Millions of children displaced due to extreme weather events, says UNICEF",cyclone,left-center,eu,Middle,True
92439,CNN,"Floods, storms and fires displaced 20,000 children every day over past six years, UNICEF report finds",cyclone,left-center,us,Skews Left,True
92518,Globalsecurity.org,UN: Millions of children in Asia displaced by weather-related events,cyclone,least biased,us,,True
92646,Phys.Org,"If we protect mangroves, we protect our fisheries, our towns and ourselves",cyclone,pro-science,gb,Middle,True
92974,Phys.Org,Deadly Storm Babet batters Scotland and Scandinavia,cyclone,pro-science,gb,Middle,True
93348,NPR,Have an heirloom ruined by climate disaster? There's a hotline to call for help,cyclone,left-center,us,Middle,True
93424,Business Insider,America's cities are vying for a hot new title: best place to ride out the coming dystopia,cyclone,left-center,us,Middle,True
94262,BBC News,Storm Ciarán: Flooding and damage hits homes across UK,cyclone,left-center,gb,Middle,True
95674,Forbes,Voluntary Carbon Market Scrutiny: Raising Ambition Or Killing It?,cyclone,right-center,us,Middle,True
96879,The Times of India,"Rail services cancelled, several schools closed as storm Ciaran triggers weather alert in northwestern Europe",cyclone,right-center,in,Middle,True
98964,Marketscreener.com,Quanta Services : Outlook Expectations Summary Q3 2023,cyclone,least biased,fr,,True
103823,Phys.Org,Seven dead as Western Europe hit by record winds of Storm Ciaran,cyclone,pro-science,gb,Middle,True
8341,ABC News,Millions of children are displaced due to extreme weather events. Climate change will make it worse,cyclone,left-center,us,Middle,True
8372,The Times of India,"Over 43 million kids displaced by floods, storms, droughts, wildfires between 2016-2021",cyclone,right-center,in,Middle,True
11027,The Indian Express,"UPSC Essentials | Weekly news express — Global Hunger Index, Periodic Labour Force Survey, and more: Key takeaways and Points to ponder",cyclone,left-center,in,Middle,True
11981,International Business Times,"Typhoon Koinu Skirts Hong Kong, Heads For Southern China's Hainan Island",cyclone,left-center,us,Middle,True
11984,International Business Times,"Hong Kong Halts Trading, Closes Schools Post-typhoon",cyclone,left-center,us,Middle,True
13640,Phys.Org,"Federal forecasters predict warm, wet US winter but less snow because of El Nino, climate change",cyclone,pro-science,gb,Middle,True
13672,Phys.Org,Toxic storms blamed on climate change cloud Tajikistan,cyclone,pro-science,gb,Middle,True
18343,Phys.Org,Storm Ciaran triggers weather alert in northwestern Europe,cyclone,pro-science,gb,Middle,True
19750,Gizmodo.com,Here's Where NYC Is Sinking,cyclone,left,us,Skews Left,True
19919,Phys.Org,"Rider on the storm: Shearwater seabird catches an 11-hour ride over 1,000 kilometers in a typhoon",cyclone,pro-science,gb,Middle,True
20003,Phys.Org,Study investigates impact of extreme weather events on ocean circulation in tropical Pacific,cyclone,pro-science,gb,Middle,True
20105,NPR,The military is turning to microgrids to fight global threats — and global warming,cyclone,left-center,us,Middle,True
20107,Forbes,Extreme Weather Disrupts U.S. Oil And Gas Sector,cyclone,right-center,us,Middle,True
23564,NPR,Up First newsletter: Maine shooter at large; support for humanitarian pause in Gaza,cyclone,left-center,us,Middle,True
29021,NPR,Feeling the pinch of high home insurance rates? It's not getting better anytime soon,cyclone,left-center,us,Middle,True
31884,NPR,"It's unlikely, but not impossible, to limit global warming to 1.5 Celsius, study finds",cyclone,left-center,us,Middle,True
31995,Time,"Go Midwest, Young Man",cyclone,left-center,us,Skews Left,True
32131,Phys.Org,Thunderstorms clumping together: How understanding water vapor helps scientists predict future climate change,cyclone,pro-science,gb,Middle,True
32157,Phys.Org,World can't 'unplug' existing energy system: COP28 head,cyclone,pro-science,gb,Middle,True
32204,Phys.Org,Why climate change is a national security risk,cyclone,pro-science,gb,Middle,True
32220,Phys.Org,"'Spatial sorting' dominated bug evolution after Hurricane Harvey flooding, study shows",cyclone,pro-science,gb,Middle,True
43786,Phys.Org,How ready is your town? Researchers help coastal towns prepare for the next storm in a changing climate,cyclone,pro-science,gb,Middle,True
66290,BBC News,Storm Ciarán: England prepares for further disruption,cyclone,left-center,gb,Middle,True
48226,Phys.Org,Virtually certain 2023 will be warmest year on record: US agency,cyclone,pro-science,gb,Middle,True
48319,ABC News,Factory fishing in Antarctica for krill targets the cornerstone of a fragile ecosystem,cyclone,left-center,us,Middle,True
48352,International Business Times,Virtually Certain 2023 Will Be Warmest Year On Record: US Agency,cyclone,left-center,us,Middle,True
48389,CNA,Virtually certain 2023 will be warmest year on record: US agency,cyclone,least biased,sg,Middle,True
48821,Phys.Org,Likelihood of hail in Australia has changed substantially over the last four decades,cyclone,pro-science,gb,Middle,True
53446,NPR,Hurricane Otis rapidly strengthens off Mexico's Pacific coast as it nears Acapulco,cyclone,left-center,us,Middle,True
67767,International Business Times,'Zero Income' After Storms Ravage Famed Greek Apple Harvest,cyclone,left-center,us,Middle,True
69504,Phys.Org,"Taiwan cancels flights, shuts schools ahead of typhoon",cyclone,pro-science,gb,Middle,True
75167,Phys.Org,Q&A: Scientist helps fish harvesters implement adaptive strategies to climate change,cyclone,pro-science,gb,Middle,True
78176,Phys.Org,Record heat unleashes deadly floods from New York to Libya,cyclone,pro-science,gb,Middle,True
116247,BBC News,Storm Ciarán eases but flood warnings remain,cyclone,left-center,gb,Middle,True
121955,ABC News,"Storm Ciarán sweeps into Italy with record rainfall, killing 3 and bringing toll to 10",cyclone,left-center,us,Middle,True
132441,Phys.Org,Storm Ciarán is breaking records and research suggests more severe weather in future,cyclone,pro-science,gb,Middle,True
134902,The Times of India,Climate change threatens to reverse health gains: World Meteorological Organization,cyclone,right-center,in,Middle,True
134992,Al Jazeera English,"At least six dead in Italy as heavy rain, high winds sweep Europe",cyclone,left-center,us,Skews Left,True
135601,Globalsecurity.org,3 November 2023 - Daily Press Briefing by the Office of the Spokesperson for the Secretary-General,cyclone,least biased,us,,True
138097,Al Jazeera English,"Acapulco residents struggle to access food, medicine after Hurricane Otis",cyclone,left-center,us,Skews Left,True
140909,The Times of India,Sixteen dead as Storm Ciaran batters Western Europe,cyclone,right-center,in,Middle,True
156506,ABC News,"Some houses are being built to stand up to hurricanes and sharply cut emissions, too",cyclone,left-center,us,Middle,True
167979,GlobeNewswire,Unitil Reports Third Quarter Earnings,cyclone,least biased,us,,True
168095,GlobeNewswire,Great Lakes Reports Third Quarter 2023 Results,cyclone,least biased,us,,True
171348,Forbes,These Young Geniuses’ Innovation Can Help Save The World,cyclone,right-center,us,Middle,True
177172,CNN,Climate change is impacting the home insurance industry and damaging the housing market,cyclone,left-center,us,Skews Left,True
197556,Phys.Org,How global warming shakes the Earth: Seismic data show ocean waves gaining strength as the planet warms,cyclone,pro-science,gb,Middle,True
200371,Phys.Org,"October obliterated temperature records, virtually guaranteeing 2023 will be hottest year on record",cyclone,pro-science,gb,Middle,True
200527,International Business Times,Hottest October Globally Marks Fifth Record-shattering Month,cyclone,left-center,us,Middle,True
228980,Forbes,What Does Climate Preparedness Look Like?,cyclone,right-center,us,Middle,True
229041,Forbes,The Mystery Of The Missing $100 Billion Integral To COP28 Agenda,cyclone,right-center,us,Middle,True
