article_id,source_name,title,countries_mentioned,country,mentions_own_country,about_own_country,event,bias,adfontes_bias,mentions_gw
89887,Al Jazeera English,Minor parties could hold key to New Zealand election,"['newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'newzealand', 'unitedstates', 'unitedstates', 'china', 'china', 'not found']",us,True,False,cyclone,left-center,Skews Left,True
91835,Time,Millions of Children Displaced Due To Extreme Weather. Climate Change Will Make It Worse,"['somalia', 'somalia', 'somalia', 'philippines', 'philippines', 'india', 'india', 'india', 'india', 'china', 'china', 'us', 'canada', 'switzerland', 'unitedstates', 'unitedstates', 'vietnam', 'vietnam', 'bangladesh']",us,True,False,cyclone,left-center,Skews Left,True
91978,Al Jazeera English,Hong Kong drenched and battered by weakening Typhoon Koinu,"['hongkong', 'hongkong', 'hongkong', 'taiwan', 'china', 'china', 'china', 'china', 'china', 'philippines']",us,False,False,cyclone,left-center,Skews Left,True
91985,Phys.Org,Millions of children are displaced due to extreme weather events. Climate change will make it worse,"['somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'philippines', 'philippines', 'philippines', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'us', 'canada', 'switzerland', 'unitedstates', 'unitedstates', 'vietnam', 'vietnam', 'palestinianterritories', 'bangladesh', 'bangladesh', 'bangladesh']",gb,False,False,cyclone,pro-science,Middle,True
92027,Phys.Org,"Typhoon Koinu skirts Hong Kong, heads for southern China's Hainan island","['china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'hongkong', 'hongkong', 'hongkong', 'hongkong', 'hongkong', 'hongkong', 'taiwan', 'taiwan', 'philippines']",gb,False,False,cyclone,pro-science,Middle,True
92101,Euronews,"Millions of children displaced due to extreme weather events, says UNICEF","['somalia', 'philippines', 'philippines', 'india', 'india', 'china', 'unitedstates', 'unitedstates', 'vietnam', 'vietnam', 'bangladesh']",eu,False,False,cyclone,left-center,Middle,True
92439,CNN,"Floods, storms and fires displaced 20,000 children every day over past six years, UNICEF report finds","['india', 'india', 'bangladesh', 'myanmar', 'bhutan', 'philippines', 'philippines', 'palau', 'vietnam', 'china', 'dominica', 'southsudan', 'somalia', 'somalia', 'ethiopia', 'afghanistan', 'us', 'canada']",us,True,False,cyclone,left-center,Skews Left,True
92518,Globalsecurity.org,UN: Millions of children in Asia displaced by weather-related events,"['philippines', 'philippines', 'philippines', 'philippines', 'philippines', 'philippines', 'philippines', 'philippines', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'china', 'china', 'china', 'china', 'china', 'china', 'bangladesh', 'bangladesh', 'bangladesh', 'indonesia', 'vietnam', 'vietnam', 'vietnam', 'dominica', 'fiji', 'myanmar', 'bhutan', 'palau', 'somalia', 'ethiopia', 'afghanistan', 'unitedstates', 'unitedstates', 'canada', 'israel']",us,True,False,cyclone,least biased,,True
92646,Phys.Org,"If we protect mangroves, we protect our fisheries, our towns and ourselves","['indonesia', 'indonesia', 'indonesia', 'india', 'vietnam', 'papuanewguinea', 'australia', 'australia', 'australia']",gb,False,False,cyclone,pro-science,Middle,True
92974,Phys.Org,Deadly Storm Babet batters Scotland and Scandinavia,"['unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'not found', 'greece', 'uk', 'ireland', 'denmark', 'denmark', 'denmark', 'germany', 'germany', 'sweden', 'sweden', 'poland']",gb,True,True,cyclone,pro-science,Middle,True
93348,NPR,Have an heirloom ruined by climate disaster? There's a hotline to call for help,"['unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'puertorico', 'puertorico', 'puertorico', 'puertorico', 'italy']",us,True,True,cyclone,left-center,Middle,True
93424,Business Insider,America's cities are vying for a hot new title: best place to ride out the coming dystopia,"['unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'us', 'us', 'not found']",us,True,True,cyclone,left-center,Middle,True
94262,BBC News,Storm Ciarán: Flooding and damage hits homes across UK,"['uk', 'uk', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'jersey', 'jersey', 'jersey', 'jersey', 'jersey', 'unitedstates', 'france', 'spain', 'belgium', 'netherlands', 'turkey']",gb,True,True,cyclone,left-center,Middle,True
95674,Forbes,Voluntary Carbon Market Scrutiny: Raising Ambition Or Killing It?,['unitedstates'],us,True,True,cyclone,right-center,Middle,True
96879,The Times of India,"Rail services cancelled, several schools closed as storm Ciaran triggers weather alert in northwestern Europe","['france', 'france', 'france', 'france', 'france', 'france', 'france', 'france', 'france', 'france', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'ireland', 'canada', 'canada', 'uk', 'spain', 'spain', 'belgium', 'belgium', 'belgium', 'netherlands']",in,False,False,cyclone,right-center,Middle,True
98964,Marketscreener.com,Quanta Services : Outlook Expectations Summary Q3 2023,"['not found', 'not found', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'us', 'us', 'us', 'us']",fr,False,False,cyclone,least biased,,True
103823,Phys.Org,Seven dead as Western Europe hit by record winds of Storm Ciaran,"['portugal', 'portugal', 'portugal', 'portugal', 'portugal', 'italy', 'italy', 'italy', 'italy', 'belgium', 'belgium', 'belgium', 'belgium', 'france', 'france', 'france', 'france', 'netherlands', 'netherlands', 'spain', 'spain', 'spain', 'spain', 'germany', 'unitedkingdom', 'jersey']",gb,True,False,cyclone,pro-science,Middle,True
8341,ABC News,Millions of children are displaced due to extreme weather events. Climate change will make it worse,"['somalia', 'somalia', 'somalia', 'somalia', 'somalia', 'philippines', 'philippines', 'india', 'india', 'india', 'india', 'india', 'china', 'china', 'us', 'canada', 'switzerland', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'vietnam', 'vietnam', 'vietnam', 'vietnam', 'bangladesh']",us,True,False,cyclone,left-center,Middle,True
8372,The Times of India,"Over 43 million kids displaced by floods, storms, droughts, wildfires between 2016-2021","['china', 'philippines', 'dominica', 'somalia', 'somalia', 'southsudan', 'canada', 'israel', 'us']",in,False,False,cyclone,right-center,Middle,True
11027,The Indian Express,"UPSC Essentials | Weekly news express — Global Hunger Index, Periodic Labour Force Survey, and more: Key takeaways and Points to ponder","['india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'india', 'pakistan', 'armenia', 'bangladesh', 'srilanka', 'ireland', 'germany', 'th', 'not found', 'not found', 'not found', 'russia', 'france', 'france', 'france', 'brazil', 'brazil', 'uk', 'australia', 'australia', 'unitedstates', 'canada', 'canada', 'nigeria', 'china', 'china', 'spain', 'us', 'us']",in,True,True,cyclone,left-center,Middle,True
11981,International Business Times,"Typhoon Koinu Skirts Hong Kong, Heads For Southern China's Hainan Island","['china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'hongkong', 'hongkong', 'hongkong', 'hongkong', 'hongkong', 'taiwan', 'philippines']",us,False,False,cyclone,left-center,Middle,True
11984,International Business Times,"Hong Kong Halts Trading, Closes Schools Post-typhoon","['hongkong', 'hongkong', 'hongkong', 'hongkong', 'taiwan', 'taiwan', 'taiwan', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'china', 'philippines']",us,False,False,cyclone,left-center,Middle,True
13640,Phys.Org,"Federal forecasters predict warm, wet US winter but less snow because of El Nino, climate change","['unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'us', 'us', 'not found']",gb,False,False,cyclone,pro-science,Middle,True
13672,Phys.Org,Toxic storms blamed on climate change cloud Tajikistan,"['uzbekistan', 'uzbekistan', 'afghanistan', 'not found']",gb,False,False,cyclone,pro-science,Middle,True
18343,Phys.Org,Storm Ciaran triggers weather alert in northwestern Europe,"['france', 'france', 'france', 'france', 'france', 'france', 'france', 'france', 'france', 'france', 'france', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'ireland', 'canada', 'canada', 'uk', 'belgium', 'belgium', 'netherlands', 'spain']",gb,True,False,cyclone,pro-science,Middle,True
19750,Gizmodo.com,Here's Where NYC Is Sinking,"['unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'us']",us,True,True,cyclone,left,Skews Left,True
19919,Phys.Org,"Rider on the storm: Shearwater seabird catches an 11-hour ride over 1,000 kilometers in a typhoon","['japan', 'japan', 'japan', 'japan', 'japan']",gb,False,False,cyclone,pro-science,Middle,True
20003,Phys.Org,Study investigates impact of extreme weather events on ocean circulation in tropical Pacific,['southkorea'],gb,False,False,cyclone,pro-science,Middle,True
20105,NPR,The military is turning to microgrids to fight global threats — and global warming,"['unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'us', 'india', 'afghanistan', 'afghanistan', 'afghanistan', 'afghanistan', 'iraq', 'iraq', 'iraq', 'kuwait']",us,True,True,cyclone,left-center,Middle,True
20107,Forbes,Extreme Weather Disrupts U.S. Oil And Gas Sector,"['us', 'us', 'us', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates']",us,True,True,cyclone,right-center,Middle,True
23564,NPR,Up First newsletter: Maine shooter at large; support for humanitarian pause in Gaza,"['unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'israel', 'israel', 'israel', 'israel', 'palestinianterritories', 'palestinianterritories', 'palestinianterritories', 'palestinianterritories', 'mexico', 'mexico', 'uk', 'brazil']",us,True,True,cyclone,left-center,Middle,True
29021,NPR,Feeling the pinch of high home insurance rates? It's not getting better anytime soon,"['unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'finland', 'not found']",us,True,True,cyclone,left-center,Middle,True
31884,NPR,"It's unlikely, but not impossible, to limit global warming to 1.5 Celsius, study finds","['mexico', 'mexico', 'france', 'france', 'france', 'france', 'france']",us,False,False,cyclone,left-center,Middle,True
31995,Time,"Go Midwest, Young Man","['brazil', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'liberia', 'mexico', 'not found', 'spain']",us,True,True,cyclone,left-center,Skews Left,True
